sample_id,object,source_fits,psf_fwhm_arcsec,psf_status,noise_sigma_electrons,equal_redchi,free_redchi,single_redchi,delta_bic_equal_minus_free,delta_bic_single_minus_free,equal_separation_arcsec,string_angle_image_deg,equal_amplitude_electrons,equal_peak_snr,fit_adequate,edge_solution,n_valid,best_start,equal_distinct_minima,free_distinct_minima,galaxy_redchi,galaxy_delta_bic_pair_minus_galaxy
J1515_3137_J1515_3137_r_240px_hdu0,J1515+3137,targets_photometry/PS1_cutouts_J1515+3137/J1515+3137_r_240px.fits,1.2,assumed,104.355331897305,2.1213373377425433,1.825880195284798,6.360334079584394,153.3084251281623,2417.0702151517626,1.3194324805816995,22.80866463559272,2151.7690085459317,20.619636480706756,True,False,540,6,1,1,,
J1518_4658_J1518_4658_i_240px_hdu0,J1518+4658,targets_photometry/PS1_cutouts_J1518+4658/J1518+4658_i_240px.fits,0.9303393416396443,measured,172.07848278681527,6.374837742754067,4.64894792030209,18.77608585623932,919.9825439700994,7567.218070004587,1.0556187132563981,10.186138004406033,8138.929596647797,47.29777636830376,False,False,540,10,1,1,,
J1518_4658_J1518_4658_r_240px_hdu0,J1518+4658,targets_photometry/PS1_cutouts_J1518+4658/J1518+4658_r_240px.fits,1.1337575511138493,measured,112.80875147484294,4.186079833241541,2.261969457064883,10.31614027510019,1023.4453411958423,4304.946759419445,1.0732950712715013,8.585607080411776,3970.8835394239886,35.200137289964786,False,False,540,4,1,1,,
J1524_4801_J1524_4801_i_240px_hdu0,J1524+4801,targets_photometry/PS1_cutouts_J1524+4801/J1524+4801_i_240px.fits,1.049071234702122,measured,233.44953330525917,9.491373835440198,6.899667196393147,20.253041896459212,1384.5794433079604,7159.233133405916,1.4241671009014798,120.96768747418209,9141.493137247533,39.15832688898159,False,False,540,7,2,1,,
J1524_4801_J1524_4801_r_240px_hdu0,J1524+4801,targets_photometry/PS1_cutouts_J1524+4801/J1524+4801_r_240px.fits,1.2,assumed,109.48054774211532,3.354987269619829,2.476540517846287,7.153358630341403,465.27553682535927,2495.329422432246,1.379729786492818,117.65224152893597,2392.3928604349167,21.85221858836758,False,False,540,10,2,1,,
J1540_4445_J1540_4445_i_240px_hdu0,J1540+4445,targets_photometry/PS1_cutouts_J1540+4445/J1540+4445_i_240px.fits,1.2518707468448385,measured,161.87252682473243,1.4215957515472677,1.1922874664093142,9.786010824976387,117.35134259051813,4590.9378751725035,2.595638671698228,119.33640784337211,3580.098831468492,22.11677856456053,True,False,540,1,4,4,,
J1540_4445_J1540_4445_r_240px_hdu0,J1540+4445,targets_photometry/PS1_cutouts_J1540+4445/J1540+4445_r_240px.fits,1.1772775145062138,measured,83.56207769915076,1.2314798560713747,1.2216317530267513,13.296616994941228,0.18894963929733422,6456.982277506565,2.630142959343562,119.27158959373499,2269.669786144804,27.161481004772465,True,False,540,1,4,6,,
J1616_1415_J1616_1415_i_240px_hdu0,J1616+1415,targets_photometry/PS1_cutouts_J1616+1415/J1616+1415_i_240px.fits,1.0141163819765333,measured,225.79817311352528,3.5371582038356366,1.8815758172326011,19.674163070657393,879.6710011236953,9523.596787868712,1.4758379998560522,155.80483421572904,9653.918685679377,42.7546359324424,False,False,540,2,1,1,,
J1616_1415_J1616_1415_r_240px_hdu0,J1616+1415,targets_photometry/PS1_cutouts_J1616+1415/J1616+1415_r_240px.fits,0.9507554270264476,measured,124.13217081360361,5.159276814653124,2.153212558799114,24.371745505292985,1601.099956045282,11896.718589578437,1.4953315034126162,156.22759295669155,6818.325350496712,54.927947411272484,False,False,540,1,1,1,,
J2015_0707_J2015_0707_i_240px_hdu0,J2015+0707,targets_photometry/PS1_cutouts_J2015+0707/J2015+0707_i_240px.fits,1.1018520687422886,measured,206.43897905347322,6.6606113678911445,1.9515575641984035,6.710223685505849,2510.2947195965635,2537.625006294711,0.27757563300309546,126.32566242528046,7078.677009350791,34.28944011352248,False,False,540,13,4,2,,
J2015_0707_J2015_0707_r_240px_hdu0,J2015+0707,targets_photometry/PS1_cutouts_J2015+0707/J2015+0707_r_240px.fits,1.106827393122846,measured,90.91450161903406,5.146322351915364,1.8251095683054304,5.22198068513094,1769.0611668764518,1807.3235399047144,0.3038063794042138,79.8023719583241,3142.3534765399645,34.563831078430226,False,False,540,11,5,4,,
J2032_2358_J2032-2358_i_240px_hdu0,J2032–2358,targets_photometry/PS1_cutouts_J2032-2358/J2032-2358_i_240px.fits,1.1507529247372892,measured,333.1670538190378,9.826080068193946,3.590141872153682,72.1062411367568,3327.289569418096,36716.524924025056,1.8657251935215915,92.68129651460598,24751.39266827046,74.29123733739401,False,False,540,5,6,1,,
J2032_2358_J2032-2358_r_240px_hdu0,J2032–2358,targets_photometry/PS1_cutouts_J2032-2358/J2032-2358_r_240px.fits,1.0499309084549515,measured,164.95335763876733,4.270070618009547,2.115943684519803,31.87515922540385,1146.128157028485,15938.412653548734,1.8762113513530292,92.24072912749959,8802.906100530625,53.36603162578951,False,False,540,1,3,1,,
J2132_2603_J2132_2603_i_240px_hdu0,J2132+2603,targets_photometry/PS1_cutouts_J2132+2603/J2132+2603_i_240px.fits,1.01099582365674,measured,131.46171436158667,4.0441046612305,1.9884647525327122,6.812198608288403,1093.4086068575928,2572.612033523974,1.4398334631882272,131.5596784023274,3489.6160612106423,26.544732648263057,False,False,540,4,2,1,,
J2132_2603_J2132_2603_r_240px_hdu0,J2132+2603,targets_photometry/PS1_cutouts_J2132+2603/J2132+2603_r_240px.fits,1.0498357663768378,measured,91.45171258748658,6.943076940580136,1.5107055540575467,7.356095714569444,2896.105456817562,3118.786535277875,0.5214865645543139,123.66032743284359,2509.22651815444,27.437720378981503,False,False,540,3,3,1,,
J2147-1340_J2147-1340_i_240px_hdu0,J2147-1340,targets_photometry/PS1_cutouts_J2147-1340/J2147-1340_i_240px.fits,1.2,assumed,282.0374986921856,4.60371691682551,4.60086695841905,28.348400708833488,-0.16882439208939104,12723.60598367872,1.1783942303414172,59.84984521241785,14269.848287687782,50.59557099271338,False,False,540,1,3,1,,
J2147-1340_J2147-1340_r_240px_hdu0,J2147-1340,targets_photometry/PS1_cutouts_J2147-1340/J2147-1340_r_240px.fits,1.2,assumed,108.90418623125561,2.478288532170189,2.4826348320625056,15.424838821360698,-6.12985844999298,6925.594535341344,1.2137480336618998,58.466074820701536,4042.257134962436,37.117555117475405,True,False,540,13,3,1,,
J2250_2117_J2250_2117_i_240px_hdu0,J2250+2117,targets_photometry/PS1_cutouts_J2250+2117/J2250+2117_i_240px.fits,1.2,assumed,153.10005139031526,42.62065209336426,8.431659388764912,42.44523349331695,18259.062194505255,18237.695990787513,0.0751911388222819,102.53741305557352,11665.980590501093,76.19841067694804,False,False,540,3,14,6,,
J2250_2117_J2250_2117_r_240px_hdu0,J2250+2117,targets_photometry/PS1_cutouts_J2250+2117/J2250+2117_r_240px.fits,1.2,assumed,74.1373844507726,21.394253703133817,5.317113337281609,21.307939908229596,8584.218499562801,8568.159674621293,0.07518191823676366,102.74993480671691,4391.327816227587,59.232300259303585,False,False,540,14,10,7,,
J2316_0610_J2316_0610_i_240px_hdu0,J2316+0610,targets_photometry/PS1_cutouts_J2316+0610/J2316+0610_i_240px.fits,1.2478477477653354,measured,170.42902219865715,2.3063551219232736,2.196883580914757,32.12520019453993,54.36311733990442,16029.293648227162,2.075436179334454,48.90078146925556,6264.843689547799,36.75925384495435,True,False,540,11,3,2,,
J2316_0610_J2316_0610_r_240px_hdu0,J2316+0610,targets_photometry/PS1_cutouts_J2316+0610/J2316+0610_r_240px.fits,1.3361665049482045,measured,107.99504101431968,1.4941017596604382,1.4175513007140943,13.252738859207728,36.003927238503366,6329.038477836055,2.1451240135272784,49.13595777778289,2586.888110589433,23.95376756462755,True,False,540,8,7,2,,
PSJ0417_3325_J0417_3325_i_240px_hdu0,PSJ0417+3325,targets_photometry/PS1_cutouts_J0417+3325/J0417+3325_i_240px.fits,1.0847021164329271,measured,223.49945842875877,12.400086318150196,12.12015097972461,67.5490404718584,155.314052559429,29727.370513304217,1.327493448614307,142.51922995746997,15635.920101874144,69.95954357919909,False,False,540,3,2,2,,
PSJ0417_3325_J0417_3325_r_240px_hdu0,PSJ0417+3325,targets_photometry/PS1_cutouts_J0417+3325/J0417+3325_r_240px.fits,1.2,assumed,85.62970939780818,5.484271382114216,5.407903003924432,40.41529947266327,39.897047817711154,18761.313508837116,1.4233062242035717,140.70000559350825,4602.491669683913,53.748771332414684,False,False,540,5,1,1,,
