telescope,filter,psf_case,psf_fwhm_arcsec,pixel_scale_arcsec,exposure_s,separation_arcsec,magnitude_each,n,n_detected,n_adequate,n_recovered,recovery_fraction,recovery_ci95_low,recovery_ci95_high,median_redchi,median_abs_separation_error_arcsec
DOT,R,site_median_seeing,1.100647128508603,0.096,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.0038860466099164,0.0015631970868317246
DOT,R,good_site_seeing,0.70101647733433,0.096,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9328931793446209,0.006032268095741727
DOT,R,good_site_seeing,0.70101647733433,0.096,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9575868299482527,0.004568561509920577
DOT,R,good_site_seeing,0.70101647733433,0.096,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9505842336615227,0.0034320354577510592
DOT,R,good_site_seeing,0.70101647733433,0.096,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9772904315906908,0.001658931794911278
DOT,R,good_site_seeing,0.70101647733433,0.096,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9856205418040206,0.001396235302410731
DOT,R,good_site_seeing,0.70101647733433,0.096,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9951376047590111,0.001392954401715385
DOT,R,good_site_seeing,0.70101647733433,0.096,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9888198031817936,0.0008003292148428265
DOT,R,good_site_seeing,0.70101647733433,0.096,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9684815919066645,0.0005636703339236826
DOT,R,good_site_seeing,0.70101647733433,0.096,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9842846956162512,0.0007430592608124176
DOT,I,site_median_seeing,1.1010037290610104,0.096,30,0.5,20.0,30,2,30,1,0.03333333333333333,0.005908590381612441,0.16670390991409173,0.9505656699669311,0.038980268292241965
DOT,I,site_median_seeing,1.1010037290610104,0.096,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9672593623144334,0.030629144666235508
DOT,I,site_median_seeing,1.1010037290610104,0.096,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9538107529906406,0.019863389453768088
DOT,I,site_median_seeing,1.1010037290610104,0.096,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9860796654761739,0.011549979890702472
DOT,I,site_median_seeing,1.1010037290610104,0.096,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9895511426151691,0.005479188031959514
DOT,I,site_median_seeing,1.1010037290610104,0.096,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9911544809884116,0.009277591338102908
DOT,I,site_median_seeing,1.1010037290610104,0.096,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9811284851587536,0.008058283387805926
DOT,I,site_median_seeing,1.1010037290610104,0.096,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9912797075696594,0.003729024355577537
DOT,I,site_median_seeing,1.1010037290610104,0.096,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9964780172145107,0.0031538738831331514
DOT,I,good_site_seeing,0.7015762334958692,0.096,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9387924655581239,0.01582226649763019
DOT,I,good_site_seeing,0.7015762334958692,0.096,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9556170841292773,0.010745582551935529
DOT,I,good_site_seeing,0.7015762334958692,0.096,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9565240196152365,0.011070696456586204
